Category	Accession	Patient_ID	Gene	Value
Luminal-HER2	GSM4201306	9992576158_R06C01	CUX2	0.5090770175
Luminal-HER2	GSM4201306	9992576158_R06C01	CYP1B1-AS1	0.6880153
Luminal-HER2	GSM4201306	9992576158_R06C01	FGD2	0.64984625
Luminal-HER2	GSM4201306	9992576158_R06C01	FGF13	0.4691784485364958
Luminal-HER2	GSM4201306	9992576158_R06C01	HORMAD2	0.7122150444444445
Luminal-HER2	GSM4201306	9992576158_R06C01	LRRC25	0.6034895
Luminal-HER2	GSM4201306	9992576158_R06C01	MARK2P9	0.5889115
Luminal-HER2	GSM4201306	9992576158_R06C01	MCHR2	0.72170545
Luminal-HER2	GSM4201306	9992576158_R06C01	MTMR11	0.3960866714285714
Luminal-HER2	GSM4201306	9992576158_R06C01	PAX9	0.69280265
Luminal-HER2	GSM4201306	9992576158_R06C01	PTPN22	0.6113057666666667
Luminal-HER2	GSM4201306	9992576158_R06C01	RAP1GAP2	0.6027570125
Luminal-HER2	GSM4201306	9992576158_R06C01	SPAG6	0.5733355099999999
Luminal-HER2	GSM4201307	9992576158_R03C02	ABCA8	0.4562914
Luminal-HER2	GSM4201307	9992576158_R03C02	CUX2	0.4089595925
Luminal-HER2	GSM4201307	9992576158_R03C02	CYP1B1-AS1	0.6227144
Luminal-HER2	GSM4201307	9992576158_R03C02	FGD2	0.49211205
Luminal-HER2	GSM4201307	9992576158_R03C02	FGF13	0.4712236851395464
Luminal-HER2	GSM4201307	9992576158_R03C02	HORMAD2	0.6762668
Luminal-HER2	GSM4201307	9992576158_R03C02	LRRC25	0.4692205
Luminal-HER2	GSM4201307	9992576158_R03C02	MARK2P9	0.2273101
Luminal-HER2	GSM4201307	9992576158_R03C02	MCHR2	0.28632884999999997
Luminal-HER2	GSM4201307	9992576158_R03C02	MTMR11	0.33315218571428573
Luminal-HER2	GSM4201307	9992576158_R03C02	PAX9	0.45393379500000003
Luminal-HER2	GSM4201307	9992576158_R03C02	PTPN22	0.4731595666666667
Luminal-HER2	GSM4201307	9992576158_R03C02	RAP1GAP2	0.4544595
Luminal-HER2	GSM4201307	9992576158_R03C02	SPAG6	0.40517525
Luminal-HER2	GSM4201308	9992576115_R03C01	ABCA8	0.5316964
Luminal-HER2	GSM4201308	9992576115_R03C01	CUX2	0.331464025
Luminal-HER2	GSM4201308	9992576115_R03C01	CYP1B1-AS1	0.5775504
Luminal-HER2	GSM4201308	9992576115_R03C01	FGD2	0.48858775
Luminal-HER2	GSM4201308	9992576115_R03C01	FGF13	0.5375792833590171
Luminal-HER2	GSM4201308	9992576115_R03C01	HORMAD2	0.6698093888888889
Luminal-HER2	GSM4201308	9992576115_R03C01	LRRC25	0.4427955
Luminal-HER2	GSM4201308	9992576115_R03C01	MARK2P9	0.4578973
Luminal-HER2	GSM4201308	9992576115_R03C01	MCHR2	0.55177705
Luminal-HER2	GSM4201308	9992576115_R03C01	MTMR11	0.4360981857142857
Luminal-HER2	GSM4201308	9992576115_R03C01	PAX9	0.5493722
Luminal-HER2	GSM4201308	9992576115_R03C01	PTPN22	0.3035799
Luminal-HER2	GSM4201308	9992576115_R03C01	RAP1GAP2	0.320552825
Luminal-HER2	GSM4201308	9992576115_R03C01	SPAG6	0.45884903
Luminal-HER2	GSM4201309	9992576115_R01C02	ABCA8	0.2108448
Luminal-HER2	GSM4201309	9992576115_R01C02	CUX2	0.517768725
Luminal-HER2	GSM4201309	9992576115_R01C02	CYP1B1-AS1	0.5537998
Luminal-HER2	GSM4201309	9992576115_R01C02	FGD2	0.60884815
Luminal-HER2	GSM4201309	9992576115_R01C02	FGF13	0.32836536360948293
Luminal-HER2	GSM4201309	9992576115_R01C02	HORMAD2	0.6870786555555556
Luminal-HER2	GSM4201309	9992576115_R01C02	LRRC25	0.7353528
Luminal-HER2	GSM4201309	9992576115_R01C02	MARK2P9	0.6838188000000001
Luminal-HER2	GSM4201309	9992576115_R01C02	MCHR2	0.2891152
Luminal-HER2	GSM4201309	9992576115_R01C02	MTMR11	0.3960382
Luminal-HER2	GSM4201309	9992576115_R01C02	PAX9	0.7337139
Luminal-HER2	GSM4201309	9992576115_R01C02	PTPN22	0.530433
Luminal-HER2	GSM4201309	9992576115_R01C02	RAP1GAP2	0.6730563125
Luminal-HER2	GSM4201309	9992576115_R01C02	SPAG6	0.70972753
Luminal-HER2	GSM4201310	9992576115_R05C02	ABCA8	0.2509198
Luminal-HER2	GSM4201310	9992576115_R05C02	CUX2	0.5064855
Luminal-HER2	GSM4201310	9992576115_R05C02	CYP1B1-AS1	0.7246419500000001
Luminal-HER2	GSM4201310	9992576115_R05C02	FGD2	0.5953852500000001
Luminal-HER2	GSM4201310	9992576115_R05C02	FGF13	0.49996477138979345
Luminal-HER2	GSM4201310	9992576115_R05C02	HORMAD2	0.8058980222222222
Luminal-HER2	GSM4201310	9992576115_R05C02	LRRC25	0.7692852
Luminal-HER2	GSM4201310	9992576115_R05C02	MARK2P9	0.5382222999999999
Luminal-HER2	GSM4201310	9992576115_R05C02	MCHR2	0.7806987750000001
Luminal-HER2	GSM4201310	9992576115_R05C02	MTMR11	0.22617588
Luminal-HER2	GSM4201310	9992576115_R05C02	PAX9	0.559022975
Luminal-HER2	GSM4201310	9992576115_R05C02	PTPN22	0.5497567333333333
Luminal-HER2	GSM4201310	9992576115_R05C02	RAP1GAP2	0.3937663375
Luminal-HER2	GSM4201310	9992576115_R05C02	SPAG6	0.7051023
Luminal-HER2	GSM4201311	9992576144_R03C01	ABCA8	0.3848332
Luminal-HER2	GSM4201311	9992576144_R03C01	CUX2	0.4649658925
Luminal-HER2	GSM4201311	9992576144_R03C01	CYP1B1-AS1	0.65743985
Luminal-HER2	GSM4201311	9992576144_R03C01	FGD2	0.6005321
Luminal-HER2	GSM4201311	9992576144_R03C01	FGF13	0.37123321148632454
Luminal-HER2	GSM4201311	9992576144_R03C01	HORMAD2	0.6283768888888889
Luminal-HER2	GSM4201311	9992576144_R03C01	LRRC25	0.554343
